image_id,angle,speed
1,0.5625,0
10,0.6875,0
100,0.625,1
1000,0.125,1
1001,0.1875,1
1002,0.25,0
1003,0.5,0
1004,0.625,0
1005,0.75,1
1006,0.5,0
1007,0.125,1
1008,0.625,0
1009,0.625,0
101,0.75,0
1010,0.625,0
1011,0.5625,1
1012,0.625,0
1013,0.625,1
1014,0.75,1
1015,0.5,0
1016,0.3125,1
1017,0.6875,0
1018,0.3125,1
1019,0.8125,1
102,0.8125,1
1020,0.125,1
103,0.4375,1
104,0.625,0
105,0.4375,1
106,0.625,0
107,0.5,0
108,0.125,1
109,0.75,1
11,0.4375,0
110,0.75,0
111,0.4375,1
112,0.5625,0
113,0.6875,0
114,0.5,0
115,0.625,0
116,0.6875,1
117,0.625,0
118,0.5625,1
119,0.8125,1
12,0.75,0
120,0.75,0
121,0.3125,1
122,0.625,0
123,0.3125,0
124,0.5,0
125,0.125,1
126,0.75,0
127,0.8125,1
128,0.0,1
129,0.25,1
13,0.5,1
130,0.5,0
131,0.75,0
132,0.4375,1
133,0.75,1
134,0.625,1
135,0.75,1
136,0.75,0
137,0.4375,0
138,0.5,0
139,0.5,1
14,0.5625,0
140,0.6875,0
141,0.625,1
142,0.1875,1
143,0.5625,0
144,0.25,1
145,0.5,1
146,0.75,0
147,0.3125,0
148,0.5,0
149,0.5625,0
15,0.125,1
150,0.5,0
151,0.75,1
152,0.6875,0
153,0.625,0
154,0.4375,1
155,0.5625,0
156,0.75,0
157,0.625,0
158,0.75,1
159,0.5,0
16,0.8125,1
160,0.125,1
161,0.8125,1
162,0.4375,1
163,0.75,0
164,0.75,1
165,0.625,0
166,0.3125,0
167,0.5,0
168,0.5,1
169,0.125,1
17,0.5625,0
170,0.625,1
171,0.5,0
172,0.5,1
173,0.75,0
174,0.5,1
175,0.4375,1
176,0.5,0
177,0.625,1
178,0.8125,1
179,0.5,0
18,0.75,0
180,0.3125,1
181,0.375,1
182,0.75,1
183,0.5,0
184,0.4375,0
185,0.4375,1
186,0.75,1
187,0.4375,1
188,0.625,0
189,0.625,0
19,0.5,0
