image_id,angle,speed
1,0.5625,0
10,0.75,0
100,0.625,1
1000,0.125,1
1001,0.125,1
1002,0.1875,0
1003,0.5625,0
1004,0.625,0
1005,0.75,1
1006,0.5,0
1007,0.125,1
1008,0.625,0
1009,0.6875,0
101,0.75,0
1010,0.75,0
1011,0.5625,1
1012,0.6875,0
1013,0.6875,1
1014,0.75,1
1015,0.5,0
1016,0.5,0
1017,0.6875,0
1018,0.4375,1
1019,0.75,1
102,0.75,1
1020,0.1875,1
103,0.4375,0
104,0.4375,0
105,0.1875,1
106,0.6875,0
107,0.5,0
108,0.75,1
109,0.75,1
11,0.4375,0
110,0.75,0
111,0.4375,1
112,0.625,0
113,0.6875,0
114,0.5,0
115,0.5625,0
116,0.6875,1
117,0.625,0
118,0.625,1
119,0.75,1
12,0.75,0
120,0.75,0
121,0.4375,1
122,0.6875,0
123,0.75,0
124,0.5,0
125,0.125,1
126,0.75,0
127,0.1875,1
128,0.125,1
129,0.125,1
13,0.5,1
130,0.4375,0
131,0.75,0
132,0.5,1
133,0.75,1
134,0.625,1
135,0.75,1
136,0.75,0
137,0.4375,0
138,0.5,0
139,0.5,0
14,0.625,0
140,0.75,0
141,0.625,1
142,0.125,1
143,0.75,0
144,0.1875,1
145,0.5,1
146,0.75,0
147,0.3125,0
148,0.4375,0
149,0.4375,0
15,0.1875,1
150,0.5,0
151,0.75,1
152,0.75,0
153,0.75,0
154,0.4375,1
155,0.5625,0
156,0.6875,0
157,0.625,0
158,0.75,1
159,0.25,0
16,0.75,1
160,0.125,1
161,0.75,1
162,0.4375,1
163,0.75,0
164,0.75,1
165,0.625,0
166,0.1875,0
167,0.5,0
168,0.5,1
169,0.125,1
17,0.625,0
170,0.625,1
171,0.5,0
172,0.4375,1
173,0.75,0
174,0.4375,1
175,0.4375,1
176,0.4375,0
177,0.75,1
178,0.75,1
179,0.4375,0
18,0.75,0
180,0.3125,1
181,0.4375,1
182,0.75,1
183,0.5,0
184,0.5,0
185,0.4375,1
186,0.75,1
187,0.125,1
188,0.6875,0
189,0.75,0
19,0.4375,0
190,0.75,0
191,0.4375,0
192,0.5,0
193,0.4375,0
194,0.4375,1
195,0.4375,0
196,0.125,1
197,0.75,0
198,0.4375,0
199,0.75,1
2,0.75,1
20,0.125,1
200,0.4375,0
201,0.5,1
202,0.75,1
203,0.625,0
204,0.125,1
205,0.75,1
206,0.75,0
207,0.75,0
208,0.5625,0
209,0.125,1
21,0.8125,1
210,0.625,1
211,0.75,1
212,0.4375,1
213,0.75,1
214,0.4375,1
215,0.75,0
216,0.6875,0
217,0.75,0
218,0.6875,0
219,0.1875,0
22,0.125,1
220,0.75,0
221,0.75,0
222,0.75,0
223,0.75,1
224,0.1875,1
225,0.3125,0
226,0.75,1
227,0.1875,1
228,0.75,0
229,0.4375,1
23,0.125,1
230,0.125,1
231,0.5,1
232,0.4375,1
233,0.75,0
234,0.5,0
235,0.75,1
236,0.75,0
237,0.125,0
238,0.625,0
239,0.4375,0
24,0.75,0
240,0.625,1
241,0.4375,0
242,0.75,0
243,0.625,0
244,0.75,0
245,0.4375,1
246,0.125,1
247,0.5625,0
248,0.125,1
249,0.75,1
25,0.75,0
250,0.75,1
251,0.4375,1
252,0.625,0
253,0.75,0
254,0.75,0
255,0.625,0
256,0.75,1
